freq,statinfo,unit,isced11,life_sat,sex,age,geo,time,value
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,European Union - 27 countries (from 2020),2013,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,European Union - 27 countries (from 2020),2018,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,European Union - 27 countries (from 2020),2021,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,European Union - 27 countries (from 2020),2022,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,European Union - 27 countries (from 2020),2023,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,European Union - 27 countries (from 2020),2024,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,European Union - 27 countries (from 2020),2025,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Euro area – 21 countries (from 2026),2013,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Euro area – 21 countries (from 2026),2018,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Euro area – 21 countries (from 2026),2021,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Euro area – 21 countries (from 2026),2022,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Euro area – 21 countries (from 2026),2023,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Euro area – 21 countries (from 2026),2024,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Euro area – 21 countries (from 2026),2025,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Euro area – 20 countries (2023-2025),2013,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Euro area – 20 countries (2023-2025),2018,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Euro area – 20 countries (2023-2025),2021,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Euro area – 20 countries (2023-2025),2022,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Euro area – 20 countries (2023-2025),2023,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Euro area – 20 countries (2023-2025),2024,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Euro area – 20 countries (2023-2025),2025,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Belgium,2013,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Belgium,2018,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Belgium,2021,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Belgium,2022,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Belgium,2023,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Belgium,2024,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Belgium,2025,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Bulgaria,2013,6.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Bulgaria,2018,6.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Bulgaria,2021,6.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Bulgaria,2022,6.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Bulgaria,2023,7.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Bulgaria,2024,7.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Bulgaria,2025,7.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Czechia,2013,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Czechia,2018,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Czechia,2021,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Czechia,2022,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Czechia,2023,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Czechia,2024,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Czechia,2025,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Denmark,2013,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Denmark,2018,7.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Denmark,2021,7.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Denmark,2022,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Denmark,2023,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Denmark,2024,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Denmark,2025,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Germany,2013,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Germany,2018,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Germany,2021,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Germany,2022,6.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Germany,2023,7.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Germany,2024,7.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Germany,2025,7.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Estonia,2013,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Estonia,2018,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Estonia,2021,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Estonia,2022,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Estonia,2023,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Estonia,2024,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Estonia,2025,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Ireland,2013,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Ireland,2018,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Ireland,2021,7.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Ireland,2022,7.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Ireland,2023,7.7
