rskpovth,sex_x,geo,year,deprivation_rate,citizen,agedef,immigration_count,age,sex_y,overburden_rate,gdp_per_capita,population_density,unit,unemployment_rate,density_unemployment,gdp_unemployment,density_overburden
Total,Total,Belgium,2014,0.9,Total,Age in completed years,123158.0,Total,Total,10.4,36530.0,369.6,Percentage of total population,5.2,1921.92,189956.0,3843.84
Total,Total,Belgium,2015,0.9,Total,Age in completed years,146626.0,Total,Total,9.4,36860.0,371.8,Percentage of total population,5.2,1933.3600000000001,191672.0,3494.92
Total,Total,Belgium,2016,1.7,Total,Age in completed years,123702.0,Total,Total,9.8,37110.0,373.7,Percentage of total population,4.7,1756.39,174417.0,3662.26
Total,Total,Belgium,2017,2.3,Total,Age in completed years,126703.0,Total,Total,9.4,37510.0,373.6,Percentage of total population,4.3,1606.48,161293.0,3511.84
Total,Total,Belgium,2018,2.2,Total,Age in completed years,137860.0,Total,Total,8.9,38040.0,375.3,Percentage of total population,3.6,1351.0800000000002,136944.0,3340.17
Total,Total,Belgium,2019,1.9,Total,Age in completed years,150006.0,Total,Total,8.4,38760.0,377.3,Percentage of total population,3.3,1245.09,127908.0,3169.32
Total,Total,Belgium,2020,2.3,Total,Age in completed years,118683.0,Total,Total,7.7,36740.0,377.3,Percentage of total population,3.4,1282.82,124916.0,2905.21
Total,Total,Belgium,2023,1.7,Total,Age in completed years,169609.0,Total,Total,7.8,40400.0,386.8,Percentage of total population,3.4,1315.12,137360.0,3017.04
Total,Total,Bulgaria,2014,12.9,Total,Age in completed years,26615.0,Total,Total,12.9,6260.0,66.3,Percentage of total population,7.4,490.62,46324.0,855.27
Total,Total,Bulgaria,2015,11.4,Total,Age in completed years,25223.0,Total,Total,14.8,6560.0,66.2,Percentage of total population,6.1,403.82,40016.0,979.7600000000001
Total,Total,Bulgaria,2016,11.6,Total,Age in completed years,21241.0,Total,Total,20.7,6840.0,64.8,Percentage of total population,5.1,330.47999999999996,34884.0,1341.36
Total,Total,Bulgaria,2017,10.6,Total,Age in completed years,25597.0,Total,Total,18.9,7130.0,64.3,Percentage of total population,4.4,282.92,31372.000000000004,1215.2699999999998
Total,Total,Bulgaria,2018,10.1,Total,Age in completed years,29559.0,Total,Total,17.9,7390.0,63.9,Percentage of total population,3.8,242.82,28082.0,1143.81
Total,Total,Bulgaria,2019,8.9,Total,Age in completed years,37929.0,Total,Total,16.0,7780.0,63.4,Percentage of total population,3.3,209.21999999999997,25674.0,1014.4
Total,Total,Bulgaria,2020,8.6,Total,Age in completed years,37364.0,Total,Total,14.4,7610.0,63.4,Percentage of total population,3.7,234.58,28157.0,912.96
Total,Total,Bulgaria,2023,6.0,Total,Age in completed years,56807.0,Total,Total,11.1,8830.0,58.6,Percentage of total population,2.7,158.22000000000003,23841.0,650.46
Total,Total,Czechia,2014,3.5,Total,Age in completed years,29897.0,Total,Total,10.5,15470.0,136.3,Percentage of total population,3.9,531.57,60333.0,1431.15
Total,Total,Czechia,2015,3.3,Total,Age in completed years,29602.0,Total,Total,10.4,16230.0,136.6,Percentage of total population,3.3,450.78,53559.0,1420.64
Total,Total,Czechia,2016,3.0,Total,Age in completed years,64083.0,Total,Total,9.5,16640.0,136.8,Percentage of total population,2.6,355.68000000000006,43264.0,1299.6000000000001
Total,Total,Czechia,2017,2.1,Total,Age in completed years,51847.0,Total,Total,8.7,17490.0,137.2,Percentage of total population,1.9,260.67999999999995,33231.0,1193.6399999999999
Total,Total,Czechia,2018,2.3,Total,Age in completed years,65910.0,Total,Total,7.8,17960.0,137.7,Percentage of total population,1.5,206.54999999999998,26940.0,1074.06
Total,Total,Czechia,2019,1.9,Total,Age in completed years,105888.0,Total,Total,6.9,18570.0,138.2,Percentage of total population,1.3,179.66,24141.0,953.5799999999999
Total,Total,Czechia,2020,2.0,Total,Age in completed years,63095.0,Total,Total,6.5,17670.0,138.2,Percentage of total population,1.7,234.93999999999997,30039.0,898.3
Total,Total,Czechia,2023,2.6,Total,Age in completed years,142149.0,Total,Total,9.1,18260.0,140.7,Percentage of total population,1.7,239.18999999999997,31042.0,1280.37
Total,Total,Denmark,2014,2.3,Total,Age in completed years,68388.0,Total,Total,15.6,47240.0,131.5,Percentage of total population,4.7,618.0500000000001,222028.0,2051.4
Total,Total,Denmark,2015,2.8,Total,Age in completed years,78492.0,Total,Total,15.1,47900.0,132.4,Percentage of total population,4.2,556.08,201180.0,1999.24
Total,Total,Denmark,2016,1.7,Total,Age in completed years,74383.0,Total,Total,15.1,48970.0,136.4,Percentage of total population,4.1,559.24,200776.99999999997,2059.64
Total,Total,Denmark,2017,2.7,Total,Age in completed years,68579.0,Total,Total,15.7,50150.0,137.3,Percentage of total population,4.0,549.2,200600.0,2155.61
Total,Total,Denmark,2018,3.2,Total,Age in completed years,64669.0,Total,Total,14.7,50830.0,138.0,Percentage of total population,3.5,483.0,177905.0,2028.6
Total,Total,Denmark,2019,2.8,Total,Age in completed years,61384.0,Total,Total,15.6,51500.0,138.5,Percentage of total population,3.5,484.75,180250.0,2160.6
Total,Total,Denmark,2020,2.8,Total,Age in completed years,57230.0,Total,Total,14.1,50470.0,138.5,Percentage of total population,3.9,540.15,196833.0,1952.85
Total,Total,Denmark,2023,1.8,Total,Age in completed years,98344.0,Total,Total,15.4,53230.0,141.6,Percentage of total population,3.7,523.92,196951.0,2180.64
Total,Total,Germany,2014,1.9,Total,Age in completed years,898840.0,Total,Total,15.9,37600.0,226.5,Percentage of total population,3.2,724.8000000000001,120320.0,3601.35
Total,Total,Germany,2015,1.8,Total,Age in completed years,1595865.0,Total,Total,15.6,37950.0,228.4,Percentage of total population,2.9,662.36,110055.0,3563.04
Total,Total,Germany,2016,1.9,Total,Age in completed years,1042484.0,Total,Total,15.8,38550.0,233.1,Percentage of total population,2.6,606.0600000000001,100230.0,3682.98
Total,Total,Germany,2017,1.8,Total,Age in completed years,900291.0,Total,Total,14.5,39540.0,234.0,Percentage of total population,2.4,561.6,94896.0,3393.0
Total,Total,Germany,2018,2.3,Total,Age in completed years,855708.0,Total,Total,14.2,39930.0,234.7,Percentage of total population,2.2,516.34,87846.0,3332.74
Total,Total,Germany,2019,2.1,Total,Age in completed years,834338.0,Total,Total,13.9,40300.0,235.2,Percentage of total population,2.0,470.4,80600.0,3269.2799999999997
