freq,unit,rskpovth,age,sex,geo,time,value
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2003,
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2004,
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2005,
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2006,
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2007,10.7
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2008,10.5
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2009,9.9
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2010,10.8
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2011,11.4
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2012,11.0
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2013,11.1
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2014,11.6
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2015,11.4
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,11.1
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,10.4
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,10.3
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,10.1
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2020,
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2021,
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2022,
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2023,
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2024,
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2025,
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2003,
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2004,
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2005,
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2006,
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2007,
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2008,
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2009,
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2010,10.0
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2011,10.6
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2012,11.5
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2013,11.6
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2014,11.5
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2015,11.2
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2016,10.9
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2017,10.1
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2018,9.6
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2019,9.4
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2020,7.8
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2021,8.7
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2022,8.7
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2023,8.8
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2024,8.2
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),2025,7.7
Annual,Percentage,Total,Total,Total,European Union - 28 countries (2013-2020),2003,
Annual,Percentage,Total,Total,Total,European Union - 28 countries (2013-2020),2004,
Annual,Percentage,Total,Total,Total,European Union - 28 countries (2013-2020),2005,
Annual,Percentage,Total,Total,Total,European Union - 28 countries (2013-2020),2006,
