rskpovth,age,sex,geo,year,overburden_rate
Total,Total,Total,Belgium,2004,12.6
Total,Total,Total,Belgium,2005,8.6
Total,Total,Total,Belgium,2006,9.8
Total,Total,Total,Belgium,2007,10.1
Total,Total,Total,Belgium,2008,12.5
Total,Total,Total,Belgium,2009,8.7
Total,Total,Total,Belgium,2010,8.9
Total,Total,Total,Belgium,2011,10.6
Total,Total,Total,Belgium,2012,11.0
Total,Total,Total,Belgium,2013,9.6
Total,Total,Total,Belgium,2014,10.4
Total,Total,Total,Belgium,2015,9.4
Total,Total,Total,Belgium,2016,9.8
Total,Total,Total,Belgium,2017,9.4
Total,Total,Total,Belgium,2018,8.9
Total,Total,Total,Belgium,2019,8.4
Total,Total,Total,Belgium,2020,7.7
Total,Total,Total,Belgium,2021,7.6
Total,Total,Total,Belgium,2022,7.5
Total,Total,Total,Belgium,2023,7.8
Total,Total,Total,Belgium,2024,6.7
Total,Total,Total,Belgium,2025,6.7
Total,Total,Total,Bulgaria,2006,15.4
Total,Total,Total,Bulgaria,2007,21.2
Total,Total,Total,Bulgaria,2008,13.3
Total,Total,Total,Bulgaria,2009,7.0
Total,Total,Total,Bulgaria,2010,5.9
Total,Total,Total,Bulgaria,2011,8.7
Total,Total,Total,Bulgaria,2012,14.5
Total,Total,Total,Bulgaria,2013,14.3
Total,Total,Total,Bulgaria,2014,12.9
Total,Total,Total,Bulgaria,2015,14.8
Total,Total,Total,Bulgaria,2016,20.7
Total,Total,Total,Bulgaria,2017,18.9
Total,Total,Total,Bulgaria,2018,17.9
Total,Total,Total,Bulgaria,2019,16.0
Total,Total,Total,Bulgaria,2020,14.4
Total,Total,Total,Bulgaria,2021,11.6
Total,Total,Total,Bulgaria,2022,15.1
Total,Total,Total,Bulgaria,2023,11.1
Total,Total,Total,Bulgaria,2024,8.0
Total,Total,Total,Bulgaria,2025,6.9
Total,Total,Total,Czechia,2005,10.0
Total,Total,Total,Czechia,2006,10.8
Total,Total,Total,Czechia,2007,10.3
Total,Total,Total,Czechia,2008,12.8
Total,Total,Total,Czechia,2009,8.9
Total,Total,Total,Czechia,2010,9.7
Total,Total,Total,Czechia,2011,9.5
Total,Total,Total,Czechia,2012,10.0
Total,Total,Total,Czechia,2013,11.7
Total,Total,Total,Czechia,2014,10.5
Total,Total,Total,Czechia,2015,10.4
Total,Total,Total,Czechia,2016,9.5
Total,Total,Total,Czechia,2017,8.7
Total,Total,Total,Czechia,2018,7.8
Total,Total,Total,Czechia,2019,6.9
Total,Total,Total,Czechia,2020,6.5
Total,Total,Total,Czechia,2021,6.2
Total,Total,Total,Czechia,2022,6.9
Total,Total,Total,Czechia,2023,9.1
Total,Total,Total,Czechia,2024,9.2
Total,Total,Total,Czechia,2025,8.2
Total,Total,Total,Denmark,2005,13.6
Total,Total,Total,Denmark,2006,16.1
Total,Total,Total,Denmark,2007,13.4
Total,Total,Total,Denmark,2008,17.1
Total,Total,Total,Denmark,2009,24.2
Total,Total,Total,Denmark,2010,21.9
Total,Total,Total,Denmark,2011,18.5
Total,Total,Total,Denmark,2012,16.7
Total,Total,Total,Denmark,2013,17.9
Total,Total,Total,Denmark,2014,15.6
Total,Total,Total,Denmark,2015,15.1
Total,Total,Total,Denmark,2016,15.1
Total,Total,Total,Denmark,2017,15.7
Total,Total,Total,Denmark,2018,14.7
Total,Total,Total,Denmark,2019,15.6
Total,Total,Total,Denmark,2020,14.1
Total,Total,Total,Denmark,2021,15.5
Total,Total,Total,Denmark,2022,14.7
Total,Total,Total,Denmark,2023,15.4
Total,Total,Total,Denmark,2024,14.6
Total,Total,Total,Denmark,2025,23.4
Total,Total,Total,Germany,2010,14.5
Total,Total,Total,Germany,2011,16.1
Total,Total,Total,Germany,2012,16.6
Total,Total,Total,Germany,2013,16.4
Total,Total,Total,Germany,2014,15.9
Total,Total,Total,Germany,2015,15.6
Total,Total,Total,Germany,2016,15.8
Total,Total,Total,Germany,2017,14.5
Total,Total,Total,Germany,2018,14.2
Total,Total,Total,Germany,2019,13.9
Total,Total,Total,Germany,2020,9.0
Total,Total,Total,Germany,2021,11.0
Total,Total,Total,Germany,2022,11.9
Total,Total,Total,Germany,2023,13.0
Total,Total,Total,Germany,2024,12.0
Total,Total,Total,Germany,2025,11.2
Total,Total,Total,Estonia,2005,7.9
Total,Total,Total,Estonia,2006,6.8
Total,Total,Total,Estonia,2007,5.2
Total,Total,Total,Estonia,2008,3.6
Total,Total,Total,Estonia,2009,4.4
Total,Total,Total,Estonia,2010,6.0
Total,Total,Total,Estonia,2011,7.4
Total,Total,Total,Estonia,2012,7.9
Total,Total,Total,Estonia,2013,7.2
Total,Total,Total,Estonia,2014,8.3
Total,Total,Total,Estonia,2015,6.8
Total,Total,Total,Estonia,2016,4.9
Total,Total,Total,Estonia,2017,4.8
Total,Total,Total,Estonia,2018,4.0
Total,Total,Total,Estonia,2019,4.4
Total,Total,Total,Estonia,2020,4.4
Total,Total,Total,Estonia,2021,4.4
Total,Total,Total,Estonia,2022,4.9
Total,Total,Total,Estonia,2023,7.6
Total,Total,Total,Estonia,2024,8.6
Total,Total,Total,Estonia,2025,8.8
Total,Total,Total,Ireland,2003,7.3
Total,Total,Total,Ireland,2004,2.2
Total,Total,Total,Ireland,2005,2.7
Total,Total,Total,Ireland,2006,2.5
Total,Total,Total,Ireland,2007,3.1
Total,Total,Total,Ireland,2008,3.3
Total,Total,Total,Ireland,2009,4.0
Total,Total,Total,Ireland,2010,4.9
Total,Total,Total,Ireland,2011,6.1
Total,Total,Total,Ireland,2012,6.5
Total,Total,Total,Ireland,2013,4.6
Total,Total,Total,Ireland,2014,6.4
Total,Total,Total,Ireland,2015,4.7
Total,Total,Total,Ireland,2016,4.6
Total,Total,Total,Ireland,2017,4.5
Total,Total,Total,Ireland,2018,3.4
Total,Total,Total,Ireland,2019,5.2
Total,Total,Total,Ireland,2020,4.2
Total,Total,Total,Ireland,2021,2.6
Total,Total,Total,Ireland,2022,3.7
Total,Total,Total,Ireland,2023,4.7
Total,Total,Total,Ireland,2024,4.5
Total,Total,Total,Ireland,2025,5.3
Total,Total,Total,Greece,2004,24.7
Total,Total,Total,Greece,2005,22.7
Total,Total,Total,Greece,2006,24.6
Total,Total,Total,Greece,2007,15.8
Total,Total,Total,Greece,2008,22.2
Total,Total,Total,Greece,2009,21.8
Total,Total,Total,Greece,2010,18.1
Total,Total,Total,Greece,2011,24.2
Total,Total,Total,Greece,2012,33.1
Total,Total,Total,Greece,2013,36.9
Total,Total,Total,Greece,2014,44.9
Total,Total,Total,Greece,2015,45.5
Total,Total,Total,Greece,2016,40.5
Total,Total,Total,Greece,2017,39.6
Total,Total,Total,Greece,2018,39.5
Total,Total,Total,Greece,2019,36.2
Total,Total,Total,Greece,2020,33.3
Total,Total,Total,Greece,2021,28.8
Total,Total,Total,Greece,2022,26.7
Total,Total,Total,Greece,2023,28.5
Total,Total,Total,Greece,2024,28.9
Total,Total,Total,Greece,2025,26.4
Total,Total,Total,Spain,2004,4.9
Total,Total,Total,Spain,2005,5.3
Total,Total,Total,Spain,2006,7.4
Total,Total,Total,Spain,2007,8.3
Total,Total,Total,Spain,2008,9.4
Total,Total,Total,Spain,2009,10.4
Total,Total,Total,Spain,2010,9.7
Total,Total,Total,Spain,2011,10.0
Total,Total,Total,Spain,2012,10.7
