freq,age,unit,sex,geo,time,value
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2014,11.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2015,10.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2016,9.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2017,8.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2018,7.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2019,6.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2020,7.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2021,7.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2022,6.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2023,6.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2024,6.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2025,6.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2014,11.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2015,11.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2016,10.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2017,9.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2018,8.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2019,7.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2020,7.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2021,7.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2022,6.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2023,6.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2024,6.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2025,6.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2014,11.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2015,11.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2016,10.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2017,9.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2018,8.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2019,7.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2020,8.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2021,7.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2022,6.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2023,6.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2024,6.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2025,6.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area - 19 countries  (2015-2022),2014,
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area - 19 countries  (2015-2022),2015,
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area - 19 countries  (2015-2022),2016,
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area - 19 countries  (2015-2022),2017,
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area - 19 countries  (2015-2022),2018,
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area - 19 countries  (2015-2022),2019,
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area - 19 countries  (2015-2022),2020,
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area - 19 countries  (2015-2022),2021,
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area - 19 countries  (2015-2022),2022,
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area - 19 countries  (2015-2022),2023,
