unit,geo,year,unemployment_rate
Percentage of total population,Belgium,2014,5.2
Percentage of total population,Belgium,2015,5.2
Percentage of total population,Belgium,2016,4.7
Percentage of total population,Belgium,2017,4.3
Percentage of total population,Belgium,2018,3.6
Percentage of total population,Belgium,2019,3.3
Percentage of total population,Belgium,2020,3.4
Percentage of total population,Belgium,2021,3.8
Percentage of total population,Belgium,2022,3.4
Percentage of total population,Belgium,2023,3.4
Percentage of total population,Belgium,2024,3.5
Percentage of total population,Belgium,2025,3.9
Percentage of total population,Bulgaria,2014,7.4
Percentage of total population,Bulgaria,2015,6.1
Percentage of total population,Bulgaria,2016,5.1
Percentage of total population,Bulgaria,2017,4.4
Percentage of total population,Bulgaria,2018,3.8
Percentage of total population,Bulgaria,2019,3.3
Percentage of total population,Bulgaria,2020,3.7
Percentage of total population,Bulgaria,2021,3.2
Percentage of total population,Bulgaria,2022,2.6
Percentage of total population,Bulgaria,2023,2.7
Percentage of total population,Bulgaria,2024,2.6
Percentage of total population,Bulgaria,2025,2.2
Percentage of total population,Czechia,2014,3.9
Percentage of total population,Czechia,2015,3.3
Percentage of total population,Czechia,2016,2.6
Percentage of total population,Czechia,2017,1.9
Percentage of total population,Czechia,2018,1.5
Percentage of total population,Czechia,2019,1.3
Percentage of total population,Czechia,2020,1.7
Percentage of total population,Czechia,2021,1.9
Percentage of total population,Czechia,2022,1.5
Percentage of total population,Czechia,2023,1.7
Percentage of total population,Czechia,2024,1.8
Percentage of total population,Czechia,2025,1.9
Percentage of total population,Denmark,2014,4.7
Percentage of total population,Denmark,2015,4.2
Percentage of total population,Denmark,2016,4.1
Percentage of total population,Denmark,2017,4.0
Percentage of total population,Denmark,2018,3.5
Percentage of total population,Denmark,2019,3.5
Percentage of total population,Denmark,2020,3.9
Percentage of total population,Denmark,2021,3.6
Percentage of total population,Denmark,2022,3.2
Percentage of total population,Denmark,2023,3.7
Percentage of total population,Denmark,2024,4.6
Percentage of total population,Denmark,2025,4.7
Percentage of total population,Germany,2014,3.2
Percentage of total population,Germany,2015,2.9
Percentage of total population,Germany,2016,2.6
Percentage of total population,Germany,2017,2.4
Percentage of total population,Germany,2018,2.2
Percentage of total population,Germany,2019,2.0
Percentage of total population,Germany,2020,2.5
Percentage of total population,Germany,2021,2.5
Percentage of total population,Germany,2022,2.2
Percentage of total population,Germany,2023,2.2
Percentage of total population,Germany,2024,2.4
Percentage of total population,Germany,2025,2.7
Percentage of total population,Estonia,2014,5.0
Percentage of total population,Estonia,2015,4.5
Percentage of total population,Estonia,2016,4.9
Percentage of total population,Estonia,2017,4.2
Percentage of total population,Estonia,2018,3.9
Percentage of total population,Estonia,2019,3.2
Percentage of total population,Estonia,2020,5.0
Percentage of total population,Estonia,2021,4.4
Percentage of total population,Estonia,2022,4.1
Percentage of total population,Estonia,2023,4.7
Percentage of total population,Estonia,2024,5.6
Percentage of total population,Estonia,2025,5.6
Percentage of total population,Ireland,2014,7.8
Percentage of total population,Ireland,2015,6.6
Percentage of total population,Ireland,2016,5.6
Percentage of total population,Ireland,2017,4.5
Percentage of total population,Ireland,2018,3.9
Percentage of total population,Ireland,2019,3.3
Percentage of total population,Ireland,2020,3.8
Percentage of total population,Ireland,2021,4.3
Percentage of total population,Ireland,2022,3.1
Percentage of total population,Ireland,2023,3.1
Percentage of total population,Ireland,2024,3.1
Percentage of total population,Ireland,2025,3.4
Percentage of total population,Greece,2014,15.7
Percentage of total population,Greece,2015,14.8
Percentage of total population,Greece,2016,14.2
Percentage of total population,Greece,2017,13.0
Percentage of total population,Greece,2018,11.7
Percentage of total population,Greece,2019,10.7
Percentage of total population,Greece,2020,10.0
Percentage of total population,Greece,2021,8.6
Percentage of total population,Greece,2022,7.5
Percentage of total population,Greece,2023,6.7
Percentage of total population,Greece,2024,6.2
Percentage of total population,Greece,2025,5.4
Percentage of total population,Spain,2014,16.0
Percentage of total population,Spain,2015,14.5
Percentage of total population,Spain,2016,12.8
Percentage of total population,Spain,2017,11.2
Percentage of total population,Spain,2018,9.9
Percentage of total population,Spain,2019,9.1
Percentage of total population,Spain,2020,9.9
Percentage of total population,Spain,2021,9.6
Percentage of total population,Spain,2022,8.5
Percentage of total population,Spain,2023,8.0
Percentage of total population,Spain,2024,7.4
Percentage of total population,Spain,2025,6.9
Percentage of total population,France,2014,6.5
Percentage of total population,France,2015,6.5
Percentage of total population,France,2016,6.3
Percentage of total population,France,2017,5.9
Percentage of total population,France,2018,5.7
Percentage of total population,France,2019,5.3
Percentage of total population,France,2020,5.0
Percentage of total population,France,2021,4.9
Percentage of total population,France,2022,4.6
Percentage of total population,France,2023,4.7
Percentage of total population,France,2024,4.8
Percentage of total population,France,2025,5.0
Percentage of total population,Croatia,2014,10.0
Percentage of total population,Croatia,2015,9.5
Percentage of total population,Croatia,2016,7.4
Percentage of total population,Croatia,2017,6.4
Percentage of total population,Croatia,2018,4.7
Percentage of total population,Croatia,2019,3.7
Percentage of total population,Croatia,2020,4.2
Percentage of total population,Croatia,2021,4.4
Percentage of total population,Croatia,2022,4.0
Percentage of total population,Croatia,2023,3.6
Percentage of total population,Croatia,2024,3.0
Percentage of total population,Croatia,2025,2.9
Percentage of total population,Italy,2014,7.1
Percentage of total population,Italy,2015,6.7
Percentage of total population,Italy,2016,6.6
Percentage of total population,Italy,2017,6.4
Percentage of total population,Italy,2018,6.1
Percentage of total population,Italy,2019,5.7
Percentage of total population,Italy,2020,5.2
Percentage of total population,Italy,2021,5.3
Percentage of total population,Italy,2022,4.6
Percentage of total population,Italy,2023,4.4
Percentage of total population,Italy,2024,3.8
Percentage of total population,Italy,2025,3.6
Percentage of total population,Cyprus,2014,11.0
Percentage of total population,Cyprus,2015,10.0
Percentage of total population,Cyprus,2016,8.6
Percentage of total population,Cyprus,2017,7.4
Percentage of total population,Cyprus,2018,5.7
Percentage of total population,Cyprus,2019,4.9
Percentage of total population,Cyprus,2020,5.2
Percentage of total population,Cyprus,2021,5.0
Percentage of total population,Cyprus,2022,4.5
Percentage of total population,Cyprus,2023,4.1
Percentage of total population,Cyprus,2024,3.4
Percentage of total population,Cyprus,2025,3.1
Percentage of total population,Latvia,2014,7.2
Percentage of total population,Latvia,2015,6.7
Percentage of total population,Latvia,2016,6.6
Percentage of total population,Latvia,2017,6.0
Percentage of total population,Latvia,2018,5.2
Percentage of total population,Latvia,2019,4.4
Percentage of total population,Latvia,2020,5.7
Percentage of total population,Latvia,2021,5.1
Percentage of total population,Latvia,2022,4.7
Percentage of total population,Latvia,2023,4.5
Percentage of total population,Latvia,2024,4.8
Percentage of total population,Latvia,2025,4.8
Percentage of total population,Lithuania,2014,7.1
Percentage of total population,Lithuania,2015,6.1
Percentage of total population,Lithuania,2016,5.3
Percentage of total population,Lithuania,2017,4.8
Percentage of total population,Lithuania,2018,4.3
Percentage of total population,Lithuania,2019,4.4
Percentage of total population,Lithuania,2020,6.0
Percentage of total population,Lithuania,2021,5.0
Percentage of total population,Lithuania,2022,4.2
Percentage of total population,Lithuania,2023,4.8
Percentage of total population,Lithuania,2024,5.1
Percentage of total population,Lithuania,2025,4.9
Percentage of total population,Luxembourg,2014,3.7
Percentage of total population,Luxembourg,2015,4.3
Percentage of total population,Luxembourg,2016,4.0
Percentage of total population,Luxembourg,2017,3.5
Percentage of total population,Luxembourg,2018,3.6
Percentage of total population,Luxembourg,2019,3.7
Percentage of total population,Luxembourg,2020,4.4
Percentage of total population,Luxembourg,2021,3.5
Percentage of total population,Luxembourg,2022,3.1
Percentage of total population,Luxembourg,2023,3.5
Percentage of total population,Luxembourg,2024,4.3
Percentage of total population,Luxembourg,2025,4.4
Percentage of total population,Hungary,2014,4.5
Percentage of total population,Hungary,2015,4.1
Percentage of total population,Hungary,2016,3.1
Percentage of total population,Hungary,2017,2.6
Percentage of total population,Hungary,2018,2.3
Percentage of total population,Hungary,2019,2.1
Percentage of total population,Hungary,2020,2.7
Percentage of total population,Hungary,2021,2.6
Percentage of total population,Hungary,2022,2.4
Percentage of total population,Hungary,2023,2.8
Percentage of total population,Hungary,2024,3.1
Percentage of total population,Hungary,2025,3.0
Percentage of total population,Malta,2014,3.4
Percentage of total population,Malta,2015,3.2
Percentage of total population,Malta,2016,2.9
Percentage of total population,Malta,2017,2.5
